Emiten;EPS;PER;PBV;Harga
ADRO;189,03;6,43;0,62;1555
AKRA;411,2;10,43;1,73;3950
AMRT;15,67;59,67;6,45;880
ANTM;68,17;11,22;1;840
ARTO;-19,41;-9,48;1,9;3100
ASII;535,14;15,37;1,91;6925
BBCA;955;24,54;4,18;33425
BBNI;811,63;10,84;1,47;7850
BBRI;264,96;13,81;2,41;4400
BMRI;541,45;13,62;1,84;7675
BRPT;58,76;40,67;1,09;1510
CPIN;277,71;26,02;6,11;6500
EMTK;-468,16;-17,94;3,06;5575
ESSA;41,94;7,68;0,98;268
HRUM;170,6;8,21;0,67;1320
INCO;88,51;36,83;1,19;3640
INDF;473,42;15,74;1,31;7925
ITMG;3448,47;5,87;1,63;11475
KLBF;52,39;29,01;4,66;1620
MDKA;180,96;19,34;2,38;1070
MEDC;-41,74;-16,41;0,61;865
PGAS;182,5;11,62;1,11;2170
PTBA;436,86;9,84;3,04;2660
SMGR;521,88;22,04;2,08;12000
TLKM;181,96;20,61;3,17;3970
TOWR;43,14;15,99;4,38;805
UNTR;3006,93;9,1;1,79;21525
UNVR;1194,89;38;45,71;42000
ACES;56,41;26,41;6,03;1495
ASRI;49,49;6,3;0,64;238
AUTO;127,29;11,55;0,63;1240
BIRD;182,92;15,69;1,36;2490
BMTR;58,21;4,16;0,24;348
BRIS;11,1;47,3;1;330
DNET;20,38;161,43;5,16;3070
ERAA;265,65;8,28;1,45;1795
GEMS;242,42;10,52;3,28;2550
GGRM;4100,96;20,39;3,57;53000
GJTL;-21,3;-30,52;0,39;585
HEXA;407,53;6,99;1,06;3470
HMSP;116,41;31,87;12,2;2100
INDY;222,97;7,11;0,51;1195
INKP;1548,48;7,46;1,16;7700
INTP;309,71;59,57;2,92;19025
ISAT;-445,16;-3,79;0,75;2910
JPFA;185,3;11,6;2,31;1535
KKGI;1,92;184,38;1,41;236
MBAP;607,12;4,69;1,95;1980
MYOR;76,62;34,19;6,86;2050
PWON;52,76;11,75;1,95;570
SRTG;-2294,29;-1,66;0,65;3620
TBIG;151,24;23,8;4,43;1230
TKIM;1147,78;9,67;1,93;10275
TOBA;273,59;5,92;1,04;358
TPIA;147,78;40,09;4,12;10375
LPPF;378,39;14,8;9;4210
AALI;757,11;15,62;1,17;14575
ADHI;178,93;8,86;0,9;1175
BBTN;267,42;9,5;1,12;2120
BJBR;159,61;12,84;1,74;1185
BJTM;85,18;8,1;1,21;685
BRMS;-24,06;-2,08;0,41;52
BUMI;48,73;2,11;0,92;66
BYAN;2196,01;9,05;6,75;15900
CPIN;277,71;26,02;6,11;6500
JSMR;301,73;14,18;1,54;5175
MAPA;121,87;30,36;4,52;5300
MAPI;44,33;18,16;2,2;1055
MSIN;40,54;7,7;1,28;400
POWR;70,96;12,54;1,54;1000
PTRO;332,45;5,37;0,65;1605
TINS;17,88;42,23;0,91;825
TPMA;42,47;5,84;0,6;254
ULTJ;60,15;22,44;3,27;1680
WIKA;192,25;8,61;0,86;1990
ADES;89,77;10,25;1,13;1045
ADMF;1815,26;5,01;5,01;10400
AGRO;9,68;32,02;1,48;198
APLN;2,14;71,03;0,24;177
BBHI;-30,03;-5,69;2,11;125
BBYB;-26,86;-10,57;2,44;284
BFIN;91,74;7,25;1,71;560
BSDE;67,39;18,62;0,8;1255
CLEO;5,27;53,89;5,36;505
CMPP;-84,79;-2,45;-2,77;184
CTRA;63,74;15,85;1,13;1040
DOID;127,37;4,12;1,19;280
DSSA;1679,13;8,04;0,47;13875
FREN;-20,76;-3,76;1,07;138
GIAA;-100,21;-2,97;0,73;498
HRTA;26,83;11,41;1,29;200
KPIG;8,36;16,63;0,8;136
MPMX;813,39;1,11;0,46;665
PNLF;57,17;4,69;0,36;302
RALS;82,69;17,17;2,63;1065
SCMA;101,7;18,39;5,02;1410
SIDO;44,26;18,98;4,34;1275
SMDR;32,03;9,68;0,23;254
SMRA;31,16;25,83;1,28;1005
TMAS;31,35;25,52;0,85;102
TOTL;61,37;9,12;1,82;436
